非公開,質問,回答,質問者,回答者,日付,Discord元リンク,回答数
,筋膜リリースボールで胸をほぐすとき、バストの肉でうまくボールが当たりません。対策ありますか？,"【Naomi390526】
私も同じです。最初の場所だけちゃんと当たるけど、移動するともうムリで、ずっと同じとこほぐしてます笑

---

【はる782206】
わたしも他のところでコメントしましたが、同じです。同じところ解してます😅

---

【タイチ】
ブロックの上にボールを置いて
その上にうつ伏せで乗ってみて下さい！
いかがでしょう？？🤔

---

【サチコ743135】
やってみました！よく入るようになりました。ありがとうございます。",サチコ743135,"Naomi390526, サチコ743135, はる782206, タイチ",2026-01-11,https://discord.com/channels/1441619538293686387/1444479247669530664/1459673580194500713,4
,全身を柔らかくするのが目標なんですが、アーカイブ動画のテーマ別を毎日ローテーションしたらいいんでしょうか？ それともある程度の期間同じテーマのストレッチを毎日続けた方がいいですか？,"【タイチ】
結論全身を満遍なくストレッチできていれば、同じテーマでもテーマを変えて頂いてもどちらでも問題ありません！

気をつけたいのは、クラスレベルが合っているかどうか、そしてどういうふうに全身を柔らかくしたいかによって受けるレッスンの選び方が変わります！

良ければより詳しくそれについて教えて下さい😊

---

【りな788081】
お返事ありがとうございます🙇🏻‍♀️
首肩背中肩甲骨の凝りが辛くて、そのせいで頭痛がすることもあるので、体の不調をなくすために全身を柔らかくして整えていきたいです。
巻き方もあるのでとりあえず肩甲骨をテーマにしたアーカイブをしてます！現状は片方の手を腰に当て、反対の手を耳上に置いて首を傾ける動作で首が全然傾かなかったり、うつ伏せになり腕を90度にして腰を捻り、胸を伸ばすストレッチは右胸を伸ばす時はかろうじて左足が床に着きますが、左胸を伸ばす時は右足は床に着きません。
後、お尻トレーニングをしてるのでお尻周りのストレッチや横開脚のストレッチもしてます。
まだまだ全然で、骨盤を立てて前傾が難しく足を開いても膝が曲がってしまいます。
横開脚のアーカイブをやり過ぎて今は右太もも付け根を痛めてしまってお休みしています。",りな788081,"りな788081, タイチ",2026-01-11,https://discord.com/channels/1441619538293686387/1444479247669530664/1459885726744186890,2
,前屈で手が床につかないレベルの硬さで、運動不足もあり毎週のアーカイブはキツすぎてついていけてません。その場合はショート動画を毎日しながら体力をつけていく感じでしょうか？それとも、毎週のアーカイブをできるところまでやっていく方がいいですか？20〜30分くらいで限界がきてしまってます。,"【タイチ】
なるべくアーカイブ動画を長くやることをおすすめします！
が、その日の体調等も、含めて20分のショート動画でも問題ないです！
2月からは15分、30分、45分のショート動画を増やしていくのでそちらもぜひ活用頂ければ1日の中で上手く取り入れられると思います！😊",しのゆか765479,タイチ,2026-01-11,https://discord.com/channels/1441619538293686387/1444479247669530664/1459890028581748831,1
,横開脚を目指すには縦開脚動画のストレッチもした方がいいですか？,"【タイチ】
りなさんの現状の中で、膝が伸び切らなかったり足首が90度にならなかったり、足を開いた時に前ももを使ってしまうなど、足の前後にエラーがあるのであれば同時並行で縦開脚も練習させた方が良いです👍

---

【りな788081】
ありがとうございます🙇🏻‍♀️
縦開脚も練習してみます！！",りな788081,"りな788081, タイチ",2026-01-12,https://discord.com/channels/1441619538293686387/1444479247669530664/1460083238314705001,2
,呼吸が深く吸えません。 深く吸えるようにするにはどうしたらいいですか？,"【Kaori 744755】
りなさん、私も過去に呼吸が浅くて胸が苦しくなる感覚があったのですが、深く呼吸しようとして、知らず知らずに力が入ってしまっていたのが原因でした🥺私の場合は背中を地面につけようと意識しすぎていたようです。
リラックスして、全身の力を抜いて口をぽかんと開けてゆっくり深呼吸してみてください✨",りな788081,Kaori 744755,2026-01-19,https://discord.com/channels/1441619538293686387/1444479247669530664/1462607350002352353,1
,足首が硬くて、しゃがんだ時に踵が床につきません。コテンと後ろに倒れちゃいます。 足首の柔軟性あげる方法教えてください。>< 後、最近膝から動いているからか少し左膝の方に違和感あります。痛める前兆を感じます。股関節から動くいいみたいに聞きますが、股関節運動とはどの様な感覚でしょうか？><,"【ゆかっち781885】
私も同意です🥲
コテンと後ろに倒れちゃいます😱
足裏を入念に解してからお腹周りを解し、前腿とハムストリングスを解しても足首の硬さが残ってる感じがして💦
お助け求めます🍀*゜🆘",jiji 763658,ゆかっち781885,2026-02-11,https://discord.com/channels/1441619538293686387/1444479247669530664/1470956797907963924,1
,いつもお世話になっています😊 質問です。 前腿の張りが強いのと股関節が詰まります。何番のストレッチを行えば効果的ですか？,"【タイチ】
はるさんこんばんは！

テキストで答えますね👇
No.23.40,50あたりをやってみて下さい！
1ヶ月間ぐらいはこの3つを回しながらLIVEレッスンも参加して頂ければ良いと思います☺️

---

【はる782206】
タイチさん、返信ありがとうございます😊お尻プリッのNo.47と合わせて早速やってみます！いつもご丁寧な回答ありがとうございます✨",はる782206,"はる782206, タイチ",2026-02-16,https://discord.com/channels/1441619538293686387/1444479247669530664/1472826520677388382,2
,2/14のLIVEレッスンリアルで参加しましたが、今、アーカイブやってました。開脚のとき、少しだけお尻プリッが意識できました✨坐骨でしっかりマットをとらえる感覚🤔 でも、やっぱり骨盤後傾なので背骨を反らすことがなかなかできず、丸くなってしまいます😭胸椎の動きも悪いです😢 おすすめのテキストありますか？,"【タイチ】
はるさん返信遅くなりました🙏
今日出した30分のショート動画はお尻プリも練習できますし骨盤前傾に持っていきやすくなると思います！
基本的に内腿が弱いと骨盤が後傾加速し裏ももとふくらはぎが硬くなってくるので一旦30分ショート動画と合わせて、51.26.23あたりで下半身をやってみてください！
胸椎伸展は、53.28.31あたりで上半身もやってみてください！

---

【はる782206】
タイチさん、いつもご丁寧にアドバイスありがとうございます！
体の変化を少しずつ感じているので楽しみながらおすすめアーカイブとLIVEレッスンにも引き続き参加します😊
いつもありがとうございます✨",はる782206,"はる782206, タイチ",2026-02-16,https://discord.com/channels/1441619538293686387/1444479247669530664/1472964015796912319,2
,いつもわかりやすいストレッチありがとうございます！ 質問です。 スワンのポーズの時、左足を90°に曲げて右足を後ろに伸ばした時、左足の裏ももあたりがガクガクなります。これは裏ももが固いせいでしょうか？,"【タイチ】
伸びている感覚はありますか？
もしかしたらその形でやること自体にハムストリングスが、新鮮で「なんだこれは、、」と筋肉がこわばってるのかもしれないですね！
痛みがなければそのまましても大丈夫です！
心配ならトレーニングしてからスワンのポーズをすると良いです！
トレーニングはアーカイブ51膝が曲がるを変えるでハムのトレーニングが出てくるので参考にやってみて下さい✨",りな788081,タイチ,2026-02-25,https://discord.com/channels/1441619538293686387/1444479247669530664/1476061619837472985,1
,お返事ありがとうございます！ 伸びている感覚より痛みの方が強いです。 無理にしない方が良さそうですね。 アーカイブの51を繰り返し練習してみます！ ありがとうございます🙇🏻‍♀️,"【タイチ】
本来は、前足の小指側の側面+膝の外側の側面で床を押すことも意識させます！
もしかしたや意識するとマシになるかもしれません🤸

---

【りな788081】
そこ意識できてなかったかもしれません！
早速ポイントに注意して実践してみます😳
たくさんのアドバイスありがとうございます！！

---

【タイチ】
頑張って下さいね😉✨",りな788081,"りな788081, タイチ",2026-02-25,https://discord.com/channels/1441619538293686387/1444479247669530664/1476166792907853939,3
,@everyone   ## 【質疑応答LIVEのアーカイブ配信】  こんばんは🌃 本日の質疑応答LIVEを配信します👇  ご自身の質問への回答はもちろん、 「他の人の質問を聞いて、自分の悩みも解決できた！」という声も多く届いています✨  1人では気づけなかった発見や、 体をより良く動かすためのヒントがたくさん詰まっています!  🧘‍♀️ぜひお好きなタイミングでご視聴ください👇  https://youtube.com/playlist?list=PLcR4m2aFRv08oIfu4XDuPeuKs6X6udpj4&si=iagb0hGRd1Hq4I3v,"【Aki763562】
質問にご回答いただきありがとうございました😊✨
立ったまま出来る動画作りましょうかって仰っていただいて嬉しかったです😭❤️
ありがとうございます！！✨

職場用にヨガブロック買って早速実践させていただきます！！
ご回答ありがとうございました😊✨！！",タイチ,Aki763562,2026-02-25,https://discord.com/channels/1441619538293686387/1444479247669530664/1476195363013791825,1
,いつもありがとうございます😊 08の質疑応答LIVEが2つUPされてます💦 番号がダブっただけかな？と、思ったのですが内容も同じようです。他のと間違えてUPされてないといいのですが😣,"【タイチ】
質疑応答LIVEの再生リストを載せ直しました！
09を見て頂くと最新のアーカイブが閲覧できます☺️
ご指摘ありがとうございます♪",はる782206,タイチ,2026-02-26,https://discord.com/channels/1441619538293686387/1444479247669530664/1476499496669155328,1
,ここで質問していいものなのか分かりませんが、今月から始まった毎日オンラインライブレッスン、アーカイブ配信はないのでしょうか。夜の配信になると時差のため絶対参加できません。短い時間のレッスンなので取り組みやすいかなと期待していたのですが、アーカイブ配信なしでは海外組はオフ会も含め取り残された感が否めません。3月は日本に2週間ばかり滞在するので、少しは参加出来ればと思っていますが、アイテムもないし旅行中ということもあり毎日参加はできないと思います💦一週間でもいいのでアーカイブで配信されたら嬉しいです。よろしくお願いします🙏,"【タイチ】
承知しました！
アーカイブ残すようにします😌
毎回告知はせずにアーカイブに残していきますので好きなタイミングで視聴して下さい！

---

【Naomi390526】
ありがとうございます😭😭😭毎日ではものすごい量のアーカイブになるのは理解しているので、配信から一週間みたいな感じでも構わないので利用できたら嬉しいです。ヨガもピラティスも大好きなのでたくさん活用していきたいです♥️",Naomi390526,"Naomi390526, タイチ",2026-03-03,https://discord.com/channels/1441619538293686387/1444479247669530664/1478281881115037747,2
,ここに質問するのが正しいのかわかりませんが、書き込んでみます。 内転筋が固めで、開脚するとどう頑張っても骨盤が後傾します。実は長座も最近ようやく出来るようになったレベルです。開脚して身体を前に倒せるようになりたいです。 アーカイブ閲覧すべきものがあればご教示頂きたいです。 よろしくお願いします。,"【タイチ】
あやめさんご質問ありがとうございます！
中臀筋を鍛える+もも裏〜ふくらはぎを伸ばす。ということが必要なのと
母指球で押す+ 内腿を使うということが必要です！

アーカイブに関しては番号でお伝えすると52.51.33.34.35.36.37.38の順番で一度継続してみて下さい！

少しずつやりやすくなると思うのでまた感想や質問などあればおっしゃって下さい🙂‍↕️

---

【櫻あやめ】
タイチ先生
アーカイブの順番も教えてくださって、有難うございます！まずはトライですね、ビフォアフの写真も撮るようにいたします！
有難うございます☺️",櫻あやめ,"櫻あやめ, タイチ",2026-03-05,https://discord.com/channels/1441619538293686387/1444479247669530664/1479114225501864037,2
,質問です！ 腸腰筋を鍛えるトレーニングで、足を片方ずつ上げる動きなんですが、右足は腸腰筋に効いてる感覚があるんですが、左足はどうしても前腿に入ってしまいます。 タイチさんの説明にある、かかとを床に押しながら膝を伸ばしてしても内転筋が使われてる感覚も掴めません。側屈も右より左の方が固いです。 左の腸腰筋が弱すぎるせいでしょうか？,"【タイチ】
弱いのもあると思うのですが、足裏が使えてない可能性が高いです！
腸腰筋を使うには母指球から内腿を繋げれないといけません。👍
なので、右足は母指球から内股の繋がりがあって腸腰筋から折れる感覚があると思います！
左も同じようにできる必要があります。
月曜の足首編を実践してから左足の母指球から内腿を繋いであげるように一度試してみて下さい🙏

---

【りな788081】
お返事ありがとうございます。
腸腰筋とばかり思っていましたが、足首編やってみます！！",りな788081,"りな788081, タイチ",2026-03-06,https://discord.com/channels/1441619538293686387/1444479247669530664/1479143838810374285,2
,今日のライブレッスンありがとうございました！自分史上最高に前屈できました！  そこで、腸腰筋と内腿を使う話があったのですが、母指球を前にすることはできるのですが、どうしても内腿が使える感覚がありません。O脚でもあり、内腿が相当弱いんだと思います。(ライブでたいちさんが「危機レベル」と言ってたくらいのレベルです)  そこで、質問というかお願いなのですが、内腿を使えるようになるレッスンをお願いできないでしょうか？(すでにアーカイブあったらすみません) O脚もずっと悩みなので、改善したいです。  書き込む場所が不適切でしたら、すみません🙇‍♀️よろしくお願いします！,"【タイチ】
あきえさんご意見ありがとうございます！
O脚だと中々難しいですよね😓
僕もO脚なので気持ちわかりますよ！
股関節から内旋させる感覚はわかりますでしょうか？
昨日のレッスンで座って膝を90度にしたまま手を膝の内側から添えて、手と膝の内側で押し合う動きです！
あれを実践して頂くと母指球から内腿が繋がる感覚がわかると思います👍

---

【あきえ728514】
お返事ありがとうございます！
手と膝で押し合う動きで内腿の感じわかります！しばらくこれを続けてみようと思います。
あと、股関節のアーカイブ(昨日見ました)でも内腿使う動きがたくさんあったので、こちらも繰り返しやってみようと思います！",あきえ728514,"あきえ728514, タイチ",2026-03-08,https://discord.com/channels/1441619538293686387/1444479247669530664/1480188775320653997,2
,3日連続レッスンありがとうございましたー！  肩が詰まる、股関節が詰まるって感覚がよくわからないんですが、実際どんな感じになるんでしょうか？ 特に違和感感じてないと思ってるんですけど、そーすると詰まって無いってことでしょうか？？,"【タイチ】
そうですね、違和感に近いです！痛みにも近い感覚ですね！

なければ非常に関節の動きが良く、詰まってない状態だと思います👍",ずっきー763893,タイチ,2026-03-08,https://discord.com/channels/1441619538293686387/1444479247669530664/1480190741895577622,1
,質問がこちらで良いのか分からなかったのですが、伺えたらと思います。  折りたたみ前屈レッスンに参加できなかったのですが、代わりになるおすすめのアーカイブはございますでしょうか。 みなさんの感想を拝見して、どうしてもやりたくなってしまいまして😆,"【タイチ】
maiさん先程折りたたみ前屈クラスのアーカイブを配信しましたのでぜひ活用下さい🙂‍↕️🙏

---

【mai 594539】
早々にご対応いただいて、ありがとうございます！
活用させていただいて、しっかり筋肉痛と前屈の変化を感じたいと思います💪",mai 594539,"mai 594539, タイチ",2026-03-09,https://discord.com/channels/1441619538293686387/1444479247669530664/1480419601975214182,2
,今週のZoom撮影会について質問とご相談です。撮影すべきポーズの写真例を、画像でDiscord上に上げていただくことは可能でしょうか？  個人的な事情で恐縮ですが、自宅はとても狭くて撮影はもちろん自由に動くこともままならず、ライブやアーカイブを視聴しながら動けるスペース(ジム)は、本来撮影禁止です。ライブ視聴で内容を理解し、撮影自体は別途場所を確保して撮影することを想定しています。  あまりこういう方はオンラインサロンにはいないかもしれませんが、可能であればご検討いただけると助かります。,"【なな426430】
度々失礼します。
撮影会、もし参加と撮影を分けることが難しいのであれば、開催日程に合わせてスタジオを予約します。どのような撮影会なのか、教えていただけると助かります。

---

【タイチ】
Naokoさんありがとうございます！
撮影会の内容ですが、後屈、開脚、前屈、姿勢チェック、x脚o脚チェックなど現状の柔軟性を確認する撮影会となります！
少しお時間あればLIVE形式で質疑応答もやってますので良ければご参加下さい！

もしご参加頂けるのであればぜひお待ちしております☺️

---

【なな426430】
3/12(木)14時〜の時間帯でスタジオを予約し、撮影会参加の準備が整いました。Beforeの撮影は、トレーニングの効果を知るためはもちろん、途中のモチベーション維持のためにも、とても大事だと思っています。楽しみにしています。

---

【タイチ】
こちらこそお待ちしております👍😊",なな426430,"なな426430, タイチ",2026-03-09,https://discord.com/channels/1441619538293686387/1444479247669530664/1480548752304373760,4
,ビフォー撮影会参加しましたー！ 録画できてなかったっぽい🤣  できてたらどこに保存されますかね？？,"【タイチ】
やっぱりそうですよね😓🙏
後から気づいたのですが、シンプルに内カメラでタイマーセットで撮影できると思います！
お手数ですが明日以降再チャレンジして頂きたいです！

---

【ずっきー763893】
了解です🫡
夜なら参加できそうなのでリベンジします！",ずっきー763893,"ずっきー763893, タイチ",2026-03-09,https://discord.com/channels/1441619538293686387/1444479247669530664/1480564895266377819,2
,骨盤股関節リセットクラスの30分ショートレッスンを行いました。 カエルのポーズの際にお尻が動いてる感覚が全くありません。 スキマ時間でもできることがあればアドバイスしていただけるとありがたいです！,"【タイチ】
クラムシェル×20 ⇨
カエルのポーズ

は気軽にできてかなりオススメの流れです！

今週の3/14のLIVEレッスンは開脚をテーマに開催するので、その際に☝️の流れを実践していきます！
お時間合えばぜひご参加下さい🙂‍↕️

---

【よこす】
ありがとうございます！実践してみます！",よこす,"よこす, タイチ",2026-03-09,https://discord.com/channels/1441619538293686387/1444479247669530664/1480572055073198110,2
,初めまして  初めてでよくわからないのですが明日朝の柔軟性チェックのレッスンは 明日朝にズームのお知らせがありますか？  また開脚が出来るようになりたくて先月初めにオンラインでプライベートレッスンを受講したのですが 結構ハードでその際に左お尻の辺りがグキッとなり、以来前に倒すと左お尻から太腿裏の辺りに変な違和感があります。その為受講前の方が前に倒せた感じです。 これはどうなったのでしようか？ どのようにすれば 違和感は治りますでしょうか？ 宜しくお願いします,"【タイチ】
ふじさん

はじめまして。
明日の朝にリンクを配信致します🔗
オンラインパーソナルでどのような動きの時にどう痛めた感じか詳しく教えて頂けますでしょうか？🤔

---

【フジ🐬822099】
ご返信ありがとうございます😊

急用で今朝は受講出来ないかもです😢

どんな動きかよく覚えてないのですが結構キツイ動きを60分してから
最後に前屈を深める動きをしていたらグキッと音がしました😳

---

【タイチ】
もしかすると足を内旋して開脚前屈しなかったのではないでしょうか？
そうした場合痛めてしまいますね😥

---

【フジ🐬822099】
痛めたところは大分マシになりました。
足を内側に倒す感じですか？
それから鳩のポーズですが足を肘にかけてお尻までは行くのですが
反対の手を頭の後ろから
伸ばしても手と手が繋がらず
(以前は繋がったのですが)
練習の仕方を教えて頂けたら嬉しいです

---

【タイチ】
鼠蹊部から足を内に倒さないといけないです👍

鳩のポーズについて

準備
①スワンのポーズでお尻を伸ばす 2分 左右
②あぐらで片手で反対の肘を後ろに引いて二の腕を伸ばす 2分
③ローランジの形から、後ろ足の膝を曲げて、足の甲を手で掴み四頭筋を伸ばす 2分ずつ

合計 12分

ハーフピジョン実践
①前足で床を押して、腹圧を入れる！
②後ろ足(曲げる足)のお尻の収縮を感じる
③腹圧を入れたまま上半身を起こす
④後ろ足を肘にかけたら、ただかけるのではなく足の甲で肘を後ろに押し引く
⑤手を繋ぎにいく前から上げる手は一度耳の横(いければ頭の後ろ)に持ってきてから肘を曲げる
⑥土台を安定させて繋ぎにいく

実践してみて下さい🕊️

---

【フジ🐬822099】
タイチさん
とてもお忙しい中
お答えいただいてありがとうございます🙏

肩の力を抜いて
ちょっとハーフピジョンやってみたところ完璧と行きませんが
両方とも手が繋がりました！これは嬉しいです。

教えて頂く方
意識するところ
とても大事ですね^ ^

スワンは足を横に流すと
上半身が前に倒れそうに
なるのですが何が原因でしょうか？　
練習になる動画が
あればまた教えて下さい

アミさん、おもちさんの
ご質問にも私も
共通するところが
ありますので
お答え参考にさせていただきますね。",フジ🐬822099,"フジ🐬822099, タイチ",2026-03-10,https://discord.com/channels/1441619538293686387/1444479247669530664/1480591798291136533,6
,昨日のレッスンで手首の柔軟において質問です。 右手首が異常に硬いようで、手のひらを回して腕の内側を伸ばす行為が全然動きません。ちょっとでも動かすと激痛が走ります😭 何か他のアプローチで少し動くようにしてあげないと可動域が広がらないように感じています。何かおすすめの物はないでしょうか。,"【タイチ】
ありがとうございます！
段階を踏むことが大事ですね🔑
レベルを下げ壁を使用したストレッチを動画で解説しているので参考にして下さい！

---

【ゆきえ821697】
ありがとうございます！！
早速実践します！",ゆきえ821697,"ゆきえ821697, タイチ",2026-03-10,https://discord.com/channels/1441619538293686387/1444479247669530664/1480592391005147342,2
,柔軟性チェック&Before撮影会に参加したいのですが、ZoomのURLは直前にDiscord内で配信されますか？ 過去の投稿を見ても撮影会のZoom URLが見当たらなかったので、ご質問させていただきました🙇‍♀️,"【タイチ】
はい！当日に配信しています！
スケジュールから参加可能な日時を選んで頂いてぜひご参加下さい😊",Hiroko256904,タイチ,2026-03-10,https://discord.com/channels/1441619538293686387/1444479247669530664/1480834492552712223,1
,肩甲骨の時間トレ15分の内容で質問です 脇を掴んだ状態で腕を捻る時、肩周りがポキポキ言うのはなぜでしょうか？,"【タイチ】
肩から腕を動かしている状態➡️

⬅️肩甲骨から腕を動かしている状態

恐らく右側の動きになってるのではないかと思います！

肩甲骨から腕を動かさないと肩の骨と骨が擦り合いいずれ痛めてしまうかもしれません。

肩甲骨の動きに特化しているアーカイブ👇

(32) まず肋骨から整えて肩甲胸郭関節の動きを良くするhttps://mosh.jp/user/memberships/224082/contents/detail/285719

(43)肩甲骨リセット
https://mosh.jp/user/memberships/224082/articles/342263

(30)肩甲骨特化
https://mosh.jp/user/memberships/224082/videos/271466

(28)肩甲骨に特化
https://mosh.jp/user/memberships/224082/videos/277900

これらを実践してみて肩の様子を見て下さい！",ryoko818 822328,タイチ,2026-03-10,https://discord.com/channels/1441619538293686387/1444479247669530664/1480846243239297045,1
,初めまして！先日の特別無料レッスンに参加させていただき、1回のレッスンでも身体の変化をすごく感じたので入会しました！  3つほど教えていただけたら嬉しいです🙇‍♀️ ①Day3のレッスン後に足が筋肉痛になったのですが、太ももの内側面というより、裏腿の内側寄り辺りが筋肉痛になっています。アプローチする場所はあっていますでしょうか？ ②「母指球と小指球で足裏を平らにする」というお話があったと思うのですが、もともと扁平足で人差し指の根本あたりが硬く盛り上がってしまっていてその動きが難しく感じています。母指球と小指球で足裏を平らにできなくとも、まずは母指球を押し出すことを意識したらできるようになっていくでしょうか？ ③Day2の壁を使った巻き肩チェックで、肩がつくというのはどこまで着くのが正解でしょうか？腕の付け根まで全てつくのが正しいですか？  お忙しいところ沢山質問してしまって申し訳ないのですが、教えていただけたら嬉しいです！,"【タイチ】
はじめまして😊
ご入会ありがとうございます！そしてレッスンもご参加いただき1回で変化を感じてもらえて良かったです！

ご質問について順番にお答えしますね👇

①について
裏ももの内側寄り（ハムストリング内側）が筋肉痛になっているのはむしろ良い反応です！

Day3の前屈系の動きでは
・内腿（内転筋）
・裏腿（ハムストリング）
この2つが連動して働くことで、骨盤を正しい位置に保ちながら前屈できるようになります。
特に今まで
「腰を丸めて前屈するクセ」があった方ほど、
ハムストリング内側が反応しやすいのでアプローチは合っています👍

②について
扁平足の方は最初から
「母指球＋小指球＋かかと」で足裏を平らにするのが難しい場合が多いです。

なのでおっしゃる通り
まずは、母指球を軽く押し出す意識からで大丈夫です！

そこに慣れてくると
・小指球
・かかと
も自然と接地できるようになり、
足裏のアーチも少しずつ使えるようになっていきます😊

③について
巻き肩チェックの「肩が壁につく」というのは

✔︎腕の付け根あたりと肩の後ろ側が軽く壁に触れるぐらいが理想です。

ただし巻き型がひどく肩甲骨が上がったまま開いて日常生活を送られてる方は最初からいきなり触れるのは難しいので
「少し浮く」くらいでも全く問題ありません🙂

多くの方は
・胸の硬さ
・肩甲骨の前方化

によって浮いているだけなので、
クラスでやっているエクササイズを続けていくと徐々に変わっていきますし、そもそも正常な肩甲骨を上から見た場合35度前に巻いているのが正常(写真を参考に)なのでベタっとつくことではないと思っといて頂ければ大丈夫です🙂‍↕️

---

【な551308】
とても丁寧に教えていただきありがとうございます😭
ちゃんとした場所にアプローチ出来ているか不安だったので、安心しました！

これまでやっていたストレッチは一時的には少し楽になるものの、すぐ元に戻ってしまうことが多く、続きませんでした、、タイチさんのレッスンでは、その時の効果も大きいし数日間楽な状態が続き、根本的に改善できている気がしています！継続して正しい身体の使い方をマスターできるように頑張りたいです☺️これからよろしくお願いいたします！

---

【もこ781795】
@sena 728493 
昨日、参加しました！
基本の「き」の話が聞けてとても参考になりました！
ありがとうございます！

壁を使い、立位で呼吸の練習をする際なのですが、
かかと⇨頭⇨胸郭⇨骨盤を
壁につけた際に
太ももが張ります。またくるぶしの外側がつってしまったり、足裏が浮いてしまったりします。どのような意識を向けたらよかったですか。

---

【sena 728493】
もこさん毎日Liveレッスンのお部屋で回答してますのでぜひお時間がある時確認してみてください🥳

また一緒にやるの楽しみにしてます😆",な551308,"な551308, sena 728493, もこ781795, タイチ",2026-03-11,https://discord.com/channels/1441619538293686387/1444479247669530664/1481094379287613504,4
,こんにちは！最近入会しました。これまでのどのパーソナルやオンラインレッスンより、効果が出そうで楽しみです。 さて、私は痩せ型なのに下腹がぽっこりしているのが悩みです。 内臓下垂もありそうです。反り腰、巻肩、スウェイバックです。 そんな私がぺたんこお腹と、くびれと、ヒップのボリューム（お尻が小さい）を手に入れるには、どのコンテンツやトレーニング（スクワットなど？）をすると良いでしょうか？,"【タイチ】
こんにちは！
ご入会ありがとうございます😊
そう言っていただけてとても嬉しいです！

ご相談の内容を拝見すると、

・反り腰
・巻き肩
・スウェイバック
・内臓下垂気味
・下腹ぽっこり

このあたりが重なっている可能性が高そうです！

まず大前提として、
下腹ぽっこりは「お腹のトレーニング不足」というより、姿勢の崩れが原因のことが多いです。

特に

・骨盤前傾（反り腰）
・肋骨の開き
・肩が前に入る（巻き肩）

この状態になると、
腹圧が抜けて内臓が前に落ちやすくなり、下腹がぽっこり見えやすくなります。

なので最初のステップとしては

①骨盤ポジションの改善
②肋骨を締める感覚
③背中から腕を使う感覚

を作ることがとても大切です！

サロン内のコンテンツでいうと、まずは

・股関節クラス（骨盤コントロール）
https://mosh.jp/user/memberships/224082/contents/detail/384526

・ぽっこりお腹改善クラス
https://mosh.jp/user/memberships/224082/articles/371613

・巻き肩改善クラス（背中の使い方）
①https://mosh.jp/user/memberships/224082/contents/detail/415865 

②https://mosh.jp/user/memberships/224082/contents/detail/400482

・背中を使うクラス
https://mosh.jp/user/memberships/224082/contents/detail/419024

・肋骨を締めるクラス
https://mosh.jp/user/memberships/224082/contents/detail/285719


このあたりを優先して取り組んでみて欲しいです！

ここが整ってくると

・お腹が自然に引き上がる
・内臓が正しい位置に戻る
・お尻が使えるようになる

ので、そこから

・ヒップトレーニング
①https://mosh.jp/user/memberships/224082/contents/detail/274759

②https://mosh.jp/user/memberships/224082/contents/detail/292931

・お腹トレーニング
https://mosh.jp/user/memberships/224082/contents/detail/222884

・スクワット

などを入れていくと

ぺたんこお腹＋くびれ＋ヒップアップ

がかなり作りやすくなります。

またLIVEレッスンや可動域チェックの時にも体の状態を見ながらアドバイスできるので、ぜひ気軽に参加してみてください👍",みお640569,タイチ,2026-03-11,https://discord.com/channels/1441619538293686387/1444479247669530664/1481182357221408840,1
,初めまして！最近入会させて頂きました！ ストレッチする部位は、何分伸ばすのが可動域向上に最適でしょうか？？,"【タイチ】
しゅーごさん入会頂きありがとうございます！

可動域向上を目的としたストレッチは、1部位につき約2分程度伸ばすのが効果的です！

ポイントとしては
• 反動をつけない
• 強いめの痛気持ちいい程度で止める
• 呼吸は止めない

この3つを意識すると効果が出やすいです！

---

【しゅーご821968】
ご回答頂き、ありがとうございます！！",しゅーご821968,"しゅーご821968, タイチ",2026-03-11,https://discord.com/channels/1441619538293686387/1444479247669530664/1481213669948919909,2
